id,X,Y,label
402,1852,2078,Endothelial
403,1773,2085,Pericyte
404,2531,2085,Dendritic (activated)
405,2956,2106,CAF
406,2644,2086,CAF
407,3085,2091,CAF
408,2903,2078,Malignant
409,4523,2074,Plasma
410,1922,2087,Macrophage
411,2826,2072,Malignant
412,1450,2054,CAF
413,767,2051,Macrophage
414,1701,2052,Macrophage
415,2132,2043,Malignant
416,75,2047,Plasma
417,3808,2048,Macrophage
418,1804,2025,Endothelial
419,3106,2027,Schwann/nerve
420,3355,2035,CAF
421,1868,2034,CAF
422,1922,2021,Macrophage
423,2881,2025,Malignant
424,1484,2025,Macrophage
425,5126,2020,CAF
426,202,2010,Macrophage
427,2100,1983,Malignant
428,1404,2005,Treg
429,2976,1995,Malignant
430,4793,1998,CAF
431,1756,1988,Macrophage
432,2786,1971,Malignant
433,2523,1989,CD8+ T
434,2895,1973,Malignant
435,3343,1958,Pericyte
436,967,1967,Treg
437,2890,1940,Malignant
438,34,1962,Endothelial
439,1828,1961,Macrophage
440,1463,1935,Malignant
441,2722,1945,Macrophage
442,2839,1956,Malignant
443,3682,1955,CAF
444,2180,1947,Malignant
445,1625,1939,Malignant
446,2944,1930,Malignant
447,2970,1930,Malignant
448,2030,1939,Malignant
449,4279,1934,CAF
450,3020,1928,Malignant
451,2777,1915,Malignant
452,1401,1900,Macrophage
453,2144,1903,Malignant
454,2854,1892,Malignant
455,136,1887,Treg
456,2820,1872,Malignant
457,173,1856,Macrophage
458,3003,1870,Malignant
459,2514,1861,CAF
460,3066,1864,Malignant
461,2026,1859,Malignant
462,2754,1863,CAF
463,42,1872,Macrophage
464,95,1880,Pericyte
465,2246,1865,Malignant
466,2881,1847,Malignant
467,1776,1865,Malignant
468,2154,1846,Malignant
469,3348,1860,Treg
470,244,1837,Macrophage
471,1847,1845,Malignant
472,102,1850,Endothelial
473,1119,1861,Natural killer
474,1724,1837,Malignant
475,2264,1839,Malignant
476,2945,1830,Malignant
477,1332,1834,Plasma
478,1578,1827,Malignant
479,1798,1825,Malignant
480,1035,1813,Macrophage
481,3166,1831,CAF
482,1983,1810,Malignant
483,2155,1816,Malignant
484,5195,1819,Macrophage
485,3035,1806,Malignant
486,91,1811,Endothelial
487,1160,1797,Treg
488,4217,1784,Malignant
489,4369,1808,Endothelial
490,2220,1803,Malignant
491,3596,1790,Macrophage
492,3724,1804,CAF
493,1522,1774,Macrophage
494,2299,1771,Malignant
495,1954,1784,Malignant
496,4386,1786,Endothelial
497,2245,1784,Malignant
498,3098,1776,Malignant
499,995,1776,CAF
500,2952,1765,Malignant
501,2174,1764,Malignant
502,4690,1774,Endothelial
503,2758,1751,Malignant
504,344,1753,Macrophage
505,1581,1751,Macrophage
506,4736,1761,Endothelial
507,1463,1751,Natural killer
508,2846,1756,Malignant
509,3711,1748,Plasma
510,1226,1722,CD8+ T
511,4362,1739,Natural killer
512,932,1740,Endothelial
513,1862,1743,CAF
514,2892,1735,Malignant
515,4783,1738,Plasma
516,2795,1691,Malignant
517,2964,1699,Malignant
518,794,1680,Macrophage
519,2340,1710,CAF
520,2864,1693,Malignant
521,3088,1692,Malignant
522,4976,1707,Plasma
523,2672,1696,Plasma
524,4276,1694,Malignant
525,4462,1684,Endothelial
526,2473,1675,Plasma
527,2896,1684,Malignant
528,4514,1692,Endothelial
529,4366,1668,Macrophage
530,4408,1662,CAF
531,1608,1674,Macrophage
532,4565,1680,Malignant
533,4202,1647,Malignant
534,3353,1662,CAF
535,2407,1658,CAF
536,2719,1664,CAF
537,3172,1655,Pericyte
538,2796,1648,Malignant
539,5366,1621,Plasma
540,2870,1642,Malignant
541,2930,1603,Malignant
542,2231,1647,Macrophage
543,1709,1584,Malignant
544,2897,1630,Malignant
545,3010,1636,Malignant
546,4539,1611,Malignant
547,1212,1629,Macrophage
548,1063,1633,CAF
549,1778,1636,Dendritic (activated)
550,3098,1602,Malignant
551,4070,1602,Malignant
552,4294,1619,Malignant
553,5109,1624,Plasma
554,2026,1613,Macrophage
555,2748,1618,Macrophage
556,2093,1611,Endothelial
557,1601,1582,Treg
558,2144,1606,CAF
559,874,1600,Plasma
560,2522,1571,Plasma
561,4225,1569,Malignant
562,2402,1580,CAF
563,3994,1592,Malignant
564,209,1589,Macrophage
565,3310,1581,Malignant
566,3002,1578,Malignant
567,4311,1561,Malignant
568,1767,1553,Macrophage
569,1985,1581,Macrophage
570,1427,1553,Macrophage
571,1938,1563,Natural killer
572,4362,1559,Macrophage
573,4107,1548,Malignant
574,3087,1536,Malignant
575,122,1558,Natural killer
576,1868,1538,Macrophage
577,2934,1540,Malignant
578,2986,1541,Malignant
579,1177,1531,Macrophage
580,3893,1540,Malignant
581,2038,1542,Macrophage
582,2236,1549,CAF
583,2805,1539,Macrophage
584,3980,1530,Malignant
585,2430,1534,Macrophage
586,2315,1532,Macrophage
587,3059,1492,Malignant
588,3813,1527,Pericyte
589,1660,1516,Macrophage
590,4967,1513,Plasma
591,5270,1497,Mast
592,4411,1498,CD8+ T
593,2983,1481,Malignant
594,4248,1474,Malignant
595,4362,1490,CAF
596,979,1487,Natural killer
597,3924,1486,Macrophage
598,4189,1480,Malignant
599,2237,1483,Malignant
600,1963,1482,Macrophage
601,2933,1478,CAF
602,4116,1471,Malignant
603,2481,1434,Macrophage
604,2016,1471,CAF
605,2375,1466,Malignant
606,3235,1463,Malignant
607,2977,1463,CAF
608,2790,1459,Endothelial
609,5291,1449,Plasma
610,1184,1441,Plasma
611,3177,1452,Malignant
612,3890,1457,Macrophage
613,2059,1454,Macrophage
614,2279,1449,Malignant
615,4146,1439,Malignant
616,2211,1439,Malignant
617,2311,1441,Malignant
618,3754,1427,CAF
619,4973,1454,Malignant
620,3992,1450,Endothelial
621,1493,1436,Dendritic (activated)
622,1104,1426,Dendritic (activated)
623,1673,1403,CAF
624,3217,1404,Malignant
625,4764,1430,Mast
626,3821,1427,CAF
627,2007,1417,Dendritic (activated)
628,3907,1412,CAF
629,1019,1385,Pericyte
630,2430,1418,Malignant
631,4103,1387,Malignant
632,5425,1405,Plasma
633,2376,1388,Malignant
634,3985,1406,Endothelial
635,4039,1420,CAF
636,2641,1399,CAF
637,2096,1389,Plasma
638,3069,1398,CAF
639,2203,1377,Malignant
640,3353,1350,Malignant
641,3858,1395,Macrophage
642,1722,1361,Endothelial
643,2310,1370,Malignant
644,4286,1372,CAF
645,4024,1378,Treg
646,2485,1375,Endothelial
647,3277,1361,Malignant
648,3940,1366,CAF
649,4923,1357,CAF
650,2432,1356,Malignant
651,3978,1347,CAF
652,3009,1341,Macrophage
653,3194,1341,Malignant
654,4039,1334,Malignant
655,3840,1335,Malignant
656,4249,1350,Macrophage
657,5262,1342,CAF
658,2249,1329,Malignant
659,3907,1301,Malignant
660,2081,1319,Pericyte
661,2032,1318,Endothelial
662,2463,1311,Malignant
663,1587,1329,Macrophage
664,2174,1303,Malignant
665,1695,1307,Macrophage
666,4107,1291,Malignant
667,4001,1307,Malignant
668,2984,1315,Malignant
669,5301,1306,Plasma
670,4430,1305,CAF
671,2024,1269,CAF
672,1632,1291,Macrophage
673,4992,1297,Plasma
674,1512,1282,Macrophage
675,1777,1268,Macrophage
676,3846,1273,Malignant
677,4518,1267,Endothelial
678,2146,1242,Malignant
679,3238,1268,Malignant
680,1582,1273,Macrophage
681,3201,1266,Malignant
682,3001,1267,Malignant
683,3277,1254,Malignant
684,2395,1261,Malignant
685,5236,1270,Endothelial
686,1893,1269,CD4+ T
687,3949,1274,Malignant
688,4495,1253,CAF
689,4915,1256,Plasma
690,4128,1241,Malignant
691,3103,1248,Malignant
692,2454,1232,Malignant
693,4839,1241,Plasma
694,4016,1244,Malignant
695,3397,1239,Endothelial
696,5266,1251,Endothelial
697,2615,1232,Treg
698,3928,1197,Malignant
699,2661,1220,CAF
700,1612,1209,Dendritic (activated)
701,3817,1208,Malignant
702,2759,1213,Endothelial
703,5287,1173,Endothelial
704,3202,1203,Macrophage
705,4768,1188,Plasma
706,5139,1192,Macrophage
707,2774,1162,Endothelial
708,3073,1179,CAF
709,3461,1199,Pericyte
710,4828,1172,Plasma
711,1934,1177,Plasma
712,3839,1178,Malignant
713,2098,1154,Macrophage
714,1884,1143,Macrophage
715,2056,1149,Macrophage
716,2169,1128,Macrophage
717,2698,1133,Plasma
718,5247,1133,Plasma
719,2820,1126,Macrophage
720,2988,1123,CAF
721,4741,1094,Endothelial
722,2543,1125,CAF
723,3929,1085,CAF
724,2315,1074,Malignant
725,3301,1068,Endothelial
726,5078,1082,Macrophage
727,3871,1077,Macrophage
728,5347,1069,Macrophage
729,2005,1069,Treg
730,2094,1069,CAF
731,2959,1059,CAF
732,4035,1062,CAF
733,5372,1025,Treg
734,1172,997,Macrophage
735,4360,998,Macrophage
736,2059,985,CAF
737,2260,973,Macrophage
738,4732,959,Plasma
739,4875,955,Macrophage
740,3813,935,Plasma
741,1202,939,CAF
742,3009,937,Macrophage
743,5193,932,Dendritic (activated)
744,5304,918,Macrophage
745,148,912,Plasma
746,4361,905,CAF
747,1937,894,Macrophage
748,4240,911,Macrophage
749,2887,874,CAF
750,2941,867,Malignant
751,5068,879,Plasma
752,3032,856,Malignant
753,2826,811,Malignant
754,3078,825,Malignant
755,1488,807,Macrophage
756,5191,822,CAF
757,2965,817,Malignant
758,3690,814,Treg
759,3180,806,Macrophage
760,5308,807,Macrophage
761,3511,807,CAF
762,3054,762,Malignant
763,5397,784,Malignant
764,5270,754,Macrophage
765,2977,759,Malignant
766,3524,736,CAF
767,5438,738,Macrophage
768,2311,742,Endothelial
769,5368,733,Macrophage
770,3195,736,Macrophage
771,4249,730,Plasma
772,5072,719,Malignant
773,4131,723,CAF
774,5187,679,Malignant
775,5338,688,Malignant
776,1599,697,Macrophage
777,4146,694,Pericyte
778,3476,702,Macrophage
779,2957,685,Malignant
780,2842,684,Malignant
781,3405,668,Macrophage
782,4409,667,Macrophage
783,2785,668,Malignant
784,5418,668,Malignant
785,4880,666,CAF
786,4980,669,Macrophage
787,2388,654,CD8+ T
788,3523,644,Macrophage
789,2756,617,Malignant
790,5076,646,Malignant
791,4350,629,Plasma
792,4647,626,CAF
793,4833,637,CAF
794,2996,615,Malignant
795,5323,584,Malignant
796,5396,614,Malignant
797,5423,591,Malignant
798,3301,591,Macrophage
799,5081,596,Macrophage
800,2861,608,Pericyte
801,4805,587,Plasma
802,5455,562,Malignant
803,1790,591,CAF
804,3024,561,Malignant
805,4683,579,Plasma
806,5216,574,Malignant
807,3549,545,Malignant
808,3221,567,Malignant
809,5367,555,Malignant
810,5399,543,Malignant
811,3089,557,Malignant
812,5077,556,CAF
813,4278,519,Plasma
814,2852,523,Endothelial
815,5202,509,Malignant
816,5294,509,Malignant
817,3214,451,Malignant
818,4571,500,Plasma
819,3504,481,Malignant
820,4359,481,Endothelial
821,3023,475,Malignant
822,3677,479,Malignant
823,2505,492,Plasma
824,2828,466,Endothelial
825,2960,479,Macrophage
826,2895,466,Macrophage
827,2353,462,Plasma
828,2854,449,Endothelial
829,5346,430,Malignant
830,4966,455,Macrophage
831,3723,430,Malignant
832,5170,426,Malignant
833,5264,411,Malignant
834,4452,418,Endothelial
