id,X,Y,label
403,1000,1459,Macrophage
404,3089,1456,Mast
405,2096,1437,CAF
406,2533,1437,Plasma
407,2891,1414,Plasma
408,2119,1414,CAF
409,3838,1422,Macrophage
410,2268,1408,CAF
411,3439,1391,CAF
412,1919,1402,CAF
413,23,1391,Malignant
414,1796,1370,CAF
415,804,1373,Macrophage
416,627,1362,Malignant
417,173,1365,Macrophage
418,4862,1350,CAF
419,121,1341,Macrophage
420,1402,1329,Smooth muscle
421,904,1311,CAF
422,1499,1332,CAF
423,706,1302,Malignant
424,523,1276,Macrophage
425,2883,1252,CAF
426,2204,1268,CAF
427,2326,1279,Pericyte
428,1680,1269,Macrophage
429,1001,1250,CAF
430,2568,1257,CAF
431,3600,1251,CAF
432,1232,1259,CAF
433,190,1256,CAF
434,2977,1227,Pericyte
435,20,1248,Malignant
436,201,1234,CAF
437,268,1216,CAF
438,901,1206,CAF
439,1502,1230,CAF
440,372,1223,CAF
441,40,1198,Malignant
442,2483,1213,Plasma
443,3462,1170,Mast
444,617,1159,Malignant
445,1339,1143,Malignant
446,1067,1163,Macrophage
447,842,1159,CAF
448,2213,1147,Malignant
449,2405,1161,Malignant
450,3328,1128,Plasma
451,2945,1101,CAF
452,1560,1118,Macrophage
453,2466,1105,Smooth muscle
454,4275,1082,CAF
455,4804,1095,CAF
456,3012,1083,Smooth muscle
457,3189,1059,CAF
458,709,1057,Malignant
459,1527,1055,Macrophage
460,1856,1048,Pericyte
461,652,1038,Malignant
462,766,1038,Malignant
463,215,1022,Malignant
464,2597,1026,Endothelial
465,616,1020,Malignant
466,1123,1021,CAF
467,1681,1005,CAF
468,954,1006,Natural killer
469,1529,1013,CAF
470,3037,1006,CAF
471,1784,994,CAF
472,3338,968,CAF
473,1878,971,Endothelial
474,709,958,Malignant
475,2223,955,Malignant
476,2616,929,Endothelial
477,1143,913,CAF
478,2765,920,Macrophage
479,2240,912,Malignant
480,2915,898,CAF
481,4342,886,CAF
482,794,854,Malignant
483,200,862,Macrophage
484,3308,856,CAF
485,2662,824,CAF
486,4724,824,CAF
487,2892,824,Endothelial
488,2421,820,Pericyte
489,1543,810,Macrophage
490,3569,818,CAF
491,2945,759,CAF
492,4538,750,Plasma
493,744,734,Malignant
494,2008,718,CAF
495,167,689,CAF
496,3202,697,CAF
497,3489,695,CAF
498,3600,663,Macrophage
499,3247,664,Endothelial
500,4619,647,Malignant
501,2893,649,Plasma
502,3406,638,CAF
503,3189,649,CAF
504,286,617,CAF
505,1545,641,Malignant
506,2350,636,Plasma
507,3558,602,Endothelial
508,3529,617,Malignant
509,1661,620,Malignant
510,2484,598,Endothelial
511,880,602,Malignant
512,2302,592,Macrophage
513,3020,592,CAF
514,316,578,CAF
515,1571,586,Malignant
516,460,573,CAF
517,821,562,Malignant
518,2236,556,CAF
519,860,561,Malignant
520,3446,556,CAF
521,2400,536,Pericyte
522,3041,518,CAF
523,507,505,CAF
524,3602,510,Malignant
525,2252,501,CAF
526,3080,515,Malignant
527,3126,497,Malignant
528,3199,509,CAF
529,1800,484,CAF
530,3289,482,CAF
531,3477,476,CAF
532,2496,467,CAF
533,3327,470,CAF
534,3092,462,Malignant
535,3403,457,CAF
536,3020,434,Dendritic (activated)
537,2757,447,Plasma
538,3087,430,Malignant
539,1208,433,CAF
540,1612,387,CAF
541,2227,394,CAF
542,2900,399,Plasma
543,327,382,CAF
544,2896,326,Malignant
545,3300,352,Macrophage
546,233,343,CAF
