pattern,prediction
"(6, 6, 11)",43
"(6, 6, 10)",8
"(6, 6, 12)",32
"(6, 7, 7)",24
"(6, 7, 8)",0
"(6, 7, 9)",56
"(6, 7, 11)",62
"(6, 7, 10)",14
"(6, 7, 12)",15
"(6, 8, 8)",0
"(6, 8, 9)",0
"(6, 8, 11)",0
"(6, 8, 10)",0
"(6, 8, 12)",0
"(6, 9, 9)",99
"(6, 9, 11)",126
"(6, 9, 10)",49
"(6, 9, 12)",49
"(6, 11, 11)",214
"(6, 11, 12)",50
"(6, 10, 11)",32
"(6, 10, 10)",3
"(6, 10, 12)",18
"(6, 12, 12)",30
"(7, 7, 7)",10
"(7, 7, 8)",0
"(7, 7, 9)",24
"(7, 7, 11)",50
"(7, 7, 10)",11
"(7, 7, 12)",9
"(7, 8, 8)",0
"(7, 8, 9)",0
"(7, 8, 11)",0
"(7, 8, 10)",0
"(7, 8, 12)",0
"(7, 9, 9)",30
"(7, 9, 11)",75
"(7, 9, 10)",25
"(7, 9, 12)",15
"(7, 11, 11)",77
"(7, 11, 12)",23
"(7, 10, 11)",22
"(7, 10, 10)",6
"(7, 10, 12)",2
"(7, 12, 12)",6
"(8, 8, 8)",0
"(8, 8, 9)",0
"(8, 8, 11)",0
"(8, 8, 10)",0
"(8, 8, 12)",0
"(8, 9, 9)",0
"(8, 9, 11)",2
"(8, 9, 10)",0
"(8, 9, 12)",0
"(8, 11, 11)",1
"(8, 11, 12)",0
"(8, 10, 11)",2
"(8, 10, 10)",0
"(8, 10, 12)",0
"(8, 12, 12)",0
"(9, 9, 9)",156
"(9, 9, 11)",187
"(9, 9, 10)",48
"(9, 9, 12)",27
"(9, 11, 11)",373
"(9, 11, 12)",49
"(9, 10, 11)",67
"(9, 10, 10)",9
"(9, 10, 12)",15
"(9, 12, 12)",43
"(11, 11, 11)",1050
"(11, 11, 12)",73
"(11, 12, 12)",37
"(10, 11, 11)",154
"(10, 11, 12)",12
"(10, 10, 11)",16
"(10, 10, 10)",4
"(10, 10, 12)",1
"(10, 12, 12)",2
"(12, 12, 12)",56
