"gene","p_val","avg_log2FC","pct.1","pct.2","p_adj"
"COL4A1",0.0177327291885644,-1.00194665390518,0.19,0.379310344827586,0.822097450129927
"CSF1",0.0617112051444994,3.80660841491576,0.11,0,0.822097450129927
"CTNNB1",0.104526582225242,3.41879476168677,0.085,0,0.822097450129927
"CXCL1",0.129111826377284,3.19321234884324,0.075,0,0.822097450129927
"CXCL10",0.177793117806854,2.86862549700665,0.06,0,0.822097450129927
"CXCL12",0.0685822732939008,3.47679842037854,0.105,0,0.822097450129927
"CXCL14",0.0265899106787614,-1.3833818396764,0.04,0.137931034482759,0.822097450129927
"DDR1",0.0403591900638509,4.06185646841921,0.13,0,0.822097450129927
"EFNA1",0.129112346347903,3.06332175246445,0.075,0,0.822097450129927
"FCRLA",0.159712879201068,2.98217605483514,0.065,0,0.822097450129927
"FFAR2",0.177793117806854,2.77204964983656,0.06,0,0.822097450129927
"FGF1",0.104524904509623,3.22476517593068,0.085,0,0.822097450129927
"FGF2",0.175307353010276,-1.41239250088693,0.045,0.103448275862069,0.822097450129927
"FGFR1",0.0555188765981702,3.68825763213001,0.115,0,0.822097450129927
"FN1",0.171798131838734,-0.296147340435737,0.54,0.655172413793103,0.822097450129927
"FZD1",0.170304702444284,1.60388388852017,0.12,0.0344827586206897,0.822097450129927
"FZD4",0.0846711348619136,3.75651238054503,0.095,0,0.822097450129927
"FZD8",0.116156671283675,3.23100866674848,0.08,0,0.822097450129927
"GPER1",0.17779384436303,2.63987912331358,0.06,0,0.822097450129927
"GPX1",0.0586031643778591,2.55834476692582,0.165,0.0344827586206897,0.822097450129927
"GPX3",0.159712879201068,3.00878117582817,0.065,0,0.822097450129927
"GZMA",0.104526162796615,3.43594755727614,0.085,0,0.822097450129927
"HDAC5",0.12911286631803,3.02493598506491,0.075,0,0.822097450129927
"HILPDA",0.162603443345084,-0.9778942909406,0.115,0.206896551724138,0.822097450129927
"HLA-A",0.0045250885748736,-1.36204602608756,0.34,0.586206896551724,0.822097450129927
"HLA-E",0.00618143430983582,-1.67057618793019,0.06,0.206896551724138,0.822097450129927
"HSD3B2",0.0810016445684272,-1.46120981560494,0.055,0.137931034482759,0.822097450129927
"HSP90AB1",0.0403585312639512,4.11202870086012,0.13,0,0.822097450129927
"HSPA1B",0.132499992079603,-1.13105235022617,0.17,0.275862068965517,0.822097450129927
"ICAM1",0.04291087820807,-1.3534930246879,0.065,0.172413793103448,0.822097450129927
"ICAM2",0.116157137999256,3.26045957276396,0.08,0,0.822097450129927
"IFITM1",0.178842252308967,1.61019658317644,0.195,0.103448275862069,0.822097450129927
"IFNA1",0.129112346347903,2.93085218483951,0.075,0,0.822097450129927
"IGF2",0.104526162796615,3.23839369934307,0.085,0,0.822097450129927
"IGFBP6",0.0627175382454851,-1.52846126565467,0.13,0.241379310344828,0.822097450129927
"IGFBP7",0.0428802944585465,-0.391187643593795,0.785,0.827586206896552,0.822097450129927
"IL10",0.0555188765981702,3.81639445806884,0.115,0,0.822097450129927
"IL12RB1",0.0253385625338898,-1.02882685204637,0.055,0.172413793103448,0.822097450129927
"IL17B",0.17779384436303,2.6751119901538,0.06,0,0.822097450129927
"IL17RA",0.116157137999256,3.22242323213667,0.08,0,0.822097450129927
"IL18",0.105443217431159,-0.899150243841984,0.055,0.137931034482759,0.822097450129927
"IL1R1",0.0740629022714077,-1.27880900661693,0.125,0.241379310344828,0.822097450129927
"IL1RAP",0.159712230677403,3.15134566980648,0.065,0,0.822097450129927
"IL6R",0.159712230677403,2.89817369308797,0.065,0,0.822097450129927
"IRF3",0.0940738709993846,3.26742610361555,0.09,0,0.822097450129927
"ITGA1",0.115639572144403,2.30534464004832,0.135,0.0344827586206897,0.822097450129927
"ITGB8",0.143564743390196,3.15109741214518,0.07,0,0.822097450129927
"JAG1",0.170304702444284,-1.36663844109812,0.1,0.172413793103448,0.822097450129927
"KRT14",0.131029827204494,-0.684469213758845,0.165,0.275862068965517,0.822097450129927
"KRT18",0.0970442360684392,1.79906170013644,0.15,0.0344827586206897,0.822097450129927
"KRT4",0.028785058225991,-1.51280742223126,0.04,0.137931034482759,0.822097450129927
