triangle_index,vertex_ids,vertex_labels
194,"244,238,256","CAF,CAF,CAF"
195,"244,256,238","CAF,CAF,CAF"
196,"247,264,273","CAF,CAF,CAF"
197,"247,273,264","CAF,CAF,CAF"
198,"248,32,243","CAF,CAF,CAF"
199,"248,243,32","CAF,CAF,CAF"
200,"250,32,240","CAF,CAF,CAF"
201,"250,38,274","CAF,CAF,CAF"
202,"250,216,239","CAF,CAF,CAF"
203,"250,216,240","CAF,CAF,CAF"
204,"250,239,216","CAF,CAF,CAF"
205,"250,239,261","CAF,CAF,CAF"
206,"250,240,32","CAF,CAF,CAF"
207,"250,240,216","CAF,CAF,CAF"
208,"250,261,239","CAF,CAF,CAF"
209,"250,274,38","CAF,CAF,CAF"
210,"253,230,260","CAF,CAF,CAF"
211,"253,260,230","CAF,CAF,CAF"
212,"256,238,244","CAF,CAF,CAF"
213,"256,238,265","CAF,CAF,CAF"
214,"256,244,238","CAF,CAF,CAF"
215,"256,265,238","CAF,CAF,CAF"
216,"260,230,253","CAF,CAF,CAF"
217,"260,253,230","CAF,CAF,CAF"
218,"261,239,250","CAF,CAF,CAF"
219,"261,250,239","CAF,CAF,CAF"
220,"261,277,317","CAF,CAF,CAF"
221,"261,317,277","CAF,CAF,CAF"
222,"262,268,276","CAF,CAF,CAF"
223,"262,276,268","CAF,CAF,CAF"
224,"264,247,273","CAF,CAF,CAF"
225,"264,273,247","CAF,CAF,CAF"
226,"265,238,242","CAF,CAF,CAF"
227,"265,238,256","CAF,CAF,CAF"
228,"265,242,238","CAF,CAF,CAF"
229,"265,242,271","CAF,CAF,CAF"
230,"265,256,238","CAF,CAF,CAF"
231,"265,271,242","CAF,CAF,CAF"
232,"265,271,287","CAF,CAF,CAF"
233,"265,287,271","CAF,CAF,CAF"
234,"265,287,296","CAF,CAF,CAF"
235,"265,296,287","CAF,CAF,CAF"
236,"268,262,276","CAF,CAF,CAF"
237,"268,276,262","CAF,CAF,CAF"
238,"271,242,265","CAF,CAF,CAF"
239,"271,265,242","CAF,CAF,CAF"
240,"271,265,287","CAF,CAF,CAF"
241,"271,287,265","CAF,CAF,CAF"
242,"271,287,291","CAF,CAF,CAF"
243,"271,291,287","CAF,CAF,CAF"
244,"273,247,264","CAF,CAF,CAF"
245,"273,264,247","CAF,CAF,CAF"
246,"273,293,313","CAF,CAF,CAF"
247,"273,313,293","CAF,CAF,CAF"
248,"274,38,250","CAF,CAF,CAF"
249,"274,38,283","CAF,CAF,CAF"
250,"274,250,38","CAF,CAF,CAF"
251,"274,283,38","CAF,CAF,CAF"
252,"276,262,268","CAF,CAF,CAF"
253,"276,268,262","CAF,CAF,CAF"
254,"276,293,304","CAF,CAF,CAF"
255,"276,299,304","CAF,CAF,CAF"
256,"276,304,293","CAF,CAF,CAF"
257,"276,304,299","CAF,CAF,CAF"
258,"277,261,317","CAF,CAF,CAF"
259,"277,317,261","CAF,CAF,CAF"
260,"283,38,274","CAF,CAF,CAF"
261,"283,38,301","CAF,CAF,CAF"
262,"283,274,38","CAF,CAF,CAF"
263,"283,301,38","CAF,CAF,CAF"
264,"283,301,305","CAF,CAF,CAF"
265,"283,305,301","CAF,CAF,CAF"
266,"287,265,271","CAF,CAF,CAF"
267,"287,265,296","CAF,CAF,CAF"
268,"287,271,265","CAF,CAF,CAF"
269,"287,271,291","CAF,CAF,CAF"
270,"287,291,271","CAF,CAF,CAF"
271,"287,291,294","CAF,CAF,CAF"
272,"287,294,291","CAF,CAF,CAF"
273,"287,294,296","CAF,CAF,CAF"
274,"287,296,265","CAF,CAF,CAF"
275,"287,296,294","CAF,CAF,CAF"
276,"291,271,287","CAF,CAF,CAF"
277,"291,287,271","CAF,CAF,CAF"
278,"291,287,294","CAF,CAF,CAF"
279,"291,294,287","CAF,CAF,CAF"
280,"293,273,313","CAF,CAF,CAF"
281,"293,276,304","CAF,CAF,CAF"
282,"293,304,276","CAF,CAF,CAF"
283,"293,313,273","CAF,CAF,CAF"
284,"294,287,291","CAF,CAF,CAF"
285,"294,287,296","CAF,CAF,CAF"
286,"294,291,287","CAF,CAF,CAF"
287,"294,296,287","CAF,CAF,CAF"
288,"296,265,287","CAF,CAF,CAF"
289,"296,287,265","CAF,CAF,CAF"
290,"296,287,294","CAF,CAF,CAF"
291,"296,294,287","CAF,CAF,CAF"
292,"299,276,304","CAF,CAF,CAF"
293,"299,304,276","CAF,CAF,CAF"
294,"301,38,283","CAF,CAF,CAF"
295,"301,283,38","CAF,CAF,CAF"
296,"301,283,305","CAF,CAF,CAF"
297,"301,305,283","CAF,CAF,CAF"
298,"301,305,353","CAF,CAF,CAF"
299,"301,353,305","CAF,CAF,CAF"
300,"304,276,293","CAF,CAF,CAF"
301,"304,276,299","CAF,CAF,CAF"
302,"304,293,276","CAF,CAF,CAF"
303,"304,299,276","CAF,CAF,CAF"
304,"305,283,301","CAF,CAF,CAF"
305,"305,301,283","CAF,CAF,CAF"
306,"305,301,353","CAF,CAF,CAF"
307,"305,353,301","CAF,CAF,CAF"
308,"313,273,293","CAF,CAF,CAF"
309,"313,293,273","CAF,CAF,CAF"
310,"317,63,81","CAF,CAF,CAF"
311,"317,81,63","CAF,CAF,CAF"
312,"317,261,277","CAF,CAF,CAF"
313,"317,277,261","CAF,CAF,CAF"
314,"330,340,349","CAF,CAF,CAF"
315,"330,349,340","CAF,CAF,CAF"
316,"340,330,349","CAF,CAF,CAF"
317,"340,342,349","CAF,CAF,CAF"
318,"340,349,330","CAF,CAF,CAF"
319,"340,349,342","CAF,CAF,CAF"
320,"342,340,349","CAF,CAF,CAF"
321,"342,349,340","CAF,CAF,CAF"
322,"346,70,372","CAF,CAF,CAF"
323,"346,359,372","CAF,CAF,CAF"
324,"346,372,70","CAF,CAF,CAF"
325,"346,372,359","CAF,CAF,CAF"
326,"349,330,340","CAF,CAF,CAF"
327,"349,340,330","CAF,CAF,CAF"
328,"349,340,342","CAF,CAF,CAF"
329,"349,342,340","CAF,CAF,CAF"
330,"351,360,375","CAF,CAF,CAF"
331,"351,375,360","CAF,CAF,CAF"
332,"353,301,305","CAF,CAF,CAF"
333,"353,305,301","CAF,CAF,CAF"
334,"359,346,372","CAF,CAF,CAF"
335,"359,362,372","CAF,CAF,CAF"
336,"359,372,346","CAF,CAF,CAF"
337,"359,372,362","CAF,CAF,CAF"
338,"360,351,375","CAF,CAF,CAF"
339,"360,375,351","CAF,CAF,CAF"
340,"360,375,382","CAF,CAF,CAF"
341,"360,382,375","CAF,CAF,CAF"
342,"362,76,372","CAF,CAF,CAF"
343,"362,76,381","CAF,CAF,CAF"
344,"362,359,372","CAF,CAF,CAF"
345,"362,372,76","CAF,CAF,CAF"
346,"362,372,359","CAF,CAF,CAF"
347,"362,381,76","CAF,CAF,CAF"
348,"363,365,373","CAF,CAF,CAF"
349,"363,373,365","CAF,CAF,CAF"
350,"363,373,377","CAF,CAF,CAF"
351,"363,377,373","CAF,CAF,CAF"
352,"365,363,373","CAF,CAF,CAF"
353,"365,373,363","CAF,CAF,CAF"
354,"372,70,72","CAF,CAF,CAF"
355,"372,70,346","CAF,CAF,CAF"
356,"372,72,70","CAF,CAF,CAF"
357,"372,72,399","CAF,CAF,CAF"
358,"372,76,362","CAF,CAF,CAF"
359,"372,76,399","CAF,CAF,CAF"
360,"372,346,70","CAF,CAF,CAF"
361,"372,346,359","CAF,CAF,CAF"
362,"372,359,346","CAF,CAF,CAF"
363,"372,359,362","CAF,CAF,CAF"
364,"372,362,76","CAF,CAF,CAF"
365,"372,362,359","CAF,CAF,CAF"
